
 Analyzing pow( x, -10. )
=========================================================================================

 Test succeed, no points rejected with ulp > 4
=========================================================================================
y = 2.751e+01 math_pow took: 166.579, 16.369
y = 2.761e+01 math_pow took: 172.169, 12.606
y = 2.771e+01 math_pow took: 182.517, 16.245
y = 2.781e+01 math_pow took: 169.315, 15.249
y = 2.791e+01 math_pow took: 180.043, 15.393
y = 2.801e+01 math_pow took: 103.497, 16.656
y = 2.811e+01 math_pow took: 193.863, 20.509
y = 2.821e+01 math_pow took: 161.061, 12.735
y = 2.831e+01 math_pow took: 162.155, 17.526
y = 2.841e+01 math_pow took: 165.794, 15.240
y = 2.851e+01 math_pow took: 167.293, 13.816
y = 2.861e+01 math_pow took: 168.268, 15.597
y = 2.871e+01 math_pow took: 168.221, 15.217
y = 2.881e+01 math_pow took: 171.836, 16.952
y = 2.891e+01 math_pow took: 174.738, 16.664
y = 2.901e+01 math_pow took: 163.107, 18.738
y = 2.911e+01 math_pow took: 161.965, 14.652
y = 2.921e+01 math_pow took: 166.651, 13.877
y = 2.931e+01 math_pow took: 166.675, 13.266
y = 2.941e+01 math_pow took: 163.868, 14.199
y = 2.951e+01 math_pow took: 165.105, 17.195
y = 2.961e+01 math_pow took: 175.737, 15.698
y = 2.971e+01 math_pow took: 164.819, 15.767
y = 2.981e+01 math_pow took: 166.009, 16.197
y = 2.991e+01 math_pow took: 165.295, 16.265
y = 3.001e+01 math_pow took: 226.403, 22.956
y = 3.011e+01 math_pow took: 160.752, 11.965
y = 3.021e+01 math_pow took: 164.605, 12.459
y = 3.031e+01 math_pow took: 161.275, 13.240
y = 3.041e+01 math_pow took: 161.917, 15.550
y = 3.051e+01 math_pow took: 169.648, 13.998
y = 3.061e+01 math_pow took: 166.627, 13.176
y = 3.071e+01 math_pow took: 173.906, 18.074
y = 3.081e+01 math_pow took: 165.723, 14.460
y = 3.091e+01 math_pow took: 164.201, 13.305
y = 3.101e+01 math_pow took: 161.156, 13.736
y = 3.111e+01 math_pow took: 160.205, 19.222
y = 3.121e+01 math_pow took: 161.180, 14.747
y = 3.131e+01 math_pow took: 159.729, 14.534
y = 3.141e+01 math_pow took: 172.669, 18.224
y = 3.151e+01 math_pow took: 163.987, 15.530
y = 3.161e+01 math_pow took: 164.391, 15.894
y = 3.171e+01 math_pow took: 175.571, 17.489
y = 3.181e+01 math_pow took: 166.532, 14.131
y = 3.191e+01 math_pow took: 164.795, 14.845
y = 3.201e+01 math_pow took: 160.775, 16.917
y = 3.211e+01 math_pow took: 158.135, 13.318
y = 3.221e+01 math_pow took: 159.586, 13.703
y = 3.231e+01 math_pow took: 184.467, 13.115
y = 3.241e+01 math_pow took: 136.465, 15.806
y = 3.251e+01 math_pow took: 196.979, 15.363
y = 3.261e+01 math_pow took: 177.284, 9.039
y = 3.271e+01 math_pow took: 115.842, 15.920
y = 3.281e+01 math_pow took: 197.169, 16.839
y = 3.291e+01 math_pow took: 168.744, 18.216
y = 3.301e+01 math_pow took: 160.086, 13.098
y = 3.311e+01 math_pow took: 158.777, 17.254
y = 3.321e+01 math_pow took: 161.180, 13.908
y = 3.331e+01 math_pow took: 179.638, 23.681
y = 3.341e+01 math_pow took: 158.064, 14.866
y = 3.351e+01 math_pow took: 114.225, 17.322
y = 3.361e+01 math_pow took: 165.842, 16.182
y = 3.371e+01 math_pow took: 164.248, 15.704
y = 3.381e+01 math_pow took: 178.853, 16.686
y = 3.391e+01 math_pow took: 164.106, 17.842
y = 3.401e+01 math_pow took: 169.148, 14.810
y = 3.411e+01 math_pow took: 159.206, 13.921
y = 3.421e+01 math_pow took: 158.706, 15.554
y = 3.431e+01 math_pow took: 173.882, 17.670
y = 3.441e+01 math_pow took: 171.384, 15.784
y = 3.451e+01 math_pow took: 167.840, 16.276
y = 3.461e+01 math_pow took: 124.619, 14.779
y = 3.471e+01 math_pow took: 166.889, 11.855
y = 3.481e+01 math_pow took: 162.726, 12.966
y = 3.491e+01 math_pow took: 162.845, 13.800
y = 3.501e+01 math_pow took: 141.746, 12.496
y = 3.511e+01 math_pow took: 157.088, 13.196
y = 3.521e+01 math_pow took: 159.848, 12.705
y = 3.531e+01 math_pow took: 164.225, 14.273
y = 3.541e+01 math_pow took: 169.339, 15.344
y = 3.551e+01 math_pow took: 130.780, 14.636
y = 3.561e+01 math_pow took: 169.101, 30.154
y = 3.571e+01 math_pow took: 165.057, 14.177
y = 3.581e+01 math_pow took: 164.605, 17.266
y = 3.591e+01 math_pow took: 189.153, 16.381
y = 3.601e+01 math_pow took: 158.873, 16.789
y = 3.611e+01 math_pow took: 156.494, 14.579
y = 3.621e+01 math_pow took: 170.932, 14.581
y = 3.631e+01 math_pow took: 165.676, 17.850
y = 3.641e+01 math_pow took: 163.463, 16.357
y = 3.651e+01 math_pow took: 198.977, 17.905
y = 3.661e+01 math_pow took: 165.152, 14.217
y = 3.671e+01 math_pow took: 170.932, 13.951
y = 3.681e+01 math_pow took: 175.357, 18.197
y = 3.691e+01 math_pow took: 162.084, 14.320
y = 3.701e+01 math_pow took: 169.505, 14.146
y = 3.711e+01 math_pow took: 157.041, 13.558
y = 3.721e+01 math_pow took: 158.421, 11.425
y = 3.731e+01 math_pow took: 156.494, 12.922
y = 3.741e+01 math_pow took: 157.065, 14.945
y = 3.751e+01 math_pow took: 161.846, 15.498
y = 3.761e+01 math_pow took: 173.382, 15.738
y = 3.771e+01 math_pow took: 162.631, 14.113
y = 3.781e+01 math_pow took: 163.701, 14.429
y = 3.791e+01 math_pow took: 180.376, 15.682
y = 3.801e+01 math_pow took: 155.114, 12.848
y = 3.811e+01 math_pow took: 159.420, 13.775
y = 3.821e+01 math_pow took: 160.799, 15.233
y = 3.831e+01 math_pow took: 156.946, 13.701
y = 3.841e+01 math_pow took: 169.196, 14.290
y = 3.851e+01 math_pow took: 162.940, 15.249
y = 3.861e+01 math_pow took: 166.484, 15.291
y = 3.871e+01 math_pow took: 161.037, 19.531
y = 3.881e+01 math_pow took: 171.432, 15.565
y = 3.891e+01 math_pow took: 174.929, 15.777
y = 3.901e+01 math_pow took: 158.421, 15.771
y = 3.911e+01 math_pow took: 137.488, 17.140
y = 3.921e+01 math_pow took: 151.023, 13.109
y = 3.931e+01 math_pow took: 157.850, 14.270
y = 3.941e+01 math_pow took: 129.853, 15.651
y = 3.951e+01 math_pow took: 162.274, 13.088
y = 3.961e+01 math_pow took: 174.952, 15.512
y = 3.971e+01 math_pow took: 160.942, 16.208
y = 3.981e+01 math_pow took: 161.013, 14.300
y = 3.991e+01 math_pow took: 162.774, 16.654
y = 4.001e+01 math_pow took: 157.017, 18.912
y = 4.011e+01 math_pow took: 144.886, 16.807
y = 4.021e+01 math_pow took: 155.352, 17.144
y = 4.031e+01 math_pow took: 168.506, 15.927
y = 4.041e+01 math_pow took: 164.653, 15.505
y = 4.051e+01 math_pow took: 161.085, 17.352
y = 4.061e+01 math_pow took: 163.796, 15.577
y = 4.071e+01 math_pow took: 162.108, 21.141
y = 4.081e+01 math_pow took: 160.442, 18.094
y = 4.091e+01 math_pow took: 174.929, 15.441
y = 4.101e+01 math_pow took: 155.352, 13.450
y = 4.111e+01 math_pow took: 163.130, 15.972
y = 4.121e+01 math_pow took: 156.161, 17.454
y = 4.131e+01 math_pow took: 174.334, 17.218
y = 4.141e+01 math_pow took: 155.661, 15.278
y = 4.151e+01 math_pow took: 162.940, 13.033
y = 4.161e+01 math_pow took: 160.847, 17.986
y = 4.171e+01 math_pow took: 163.059, 18.034
y = 4.181e+01 math_pow took: 160.038, 15.525
y = 4.191e+01 math_pow took: 165.866, 14.479
y = 4.201e+01 math_pow took: 158.611, 16.779
y = 4.211e+01 math_pow took: 157.564, 12.699
y = 4.221e+01 math_pow took: 111.251, 20.788
y = 4.231e+01 math_pow took: 165.010, 9.475
y = 4.241e+01 math_pow took: 187.821, 13.449
y = 4.251e+01 math_pow took: 160.847, 14.220
y = 4.261e+01 math_pow took: 168.578, 14.982
y = 4.271e+01 math_pow took: 174.477, 13.821
y = 4.281e+01 math_pow took: 166.770, 16.126
y = 4.291e+01 math_pow took: 162.464, 17.645
y = 4.301e+01 math_pow took: 157.564, 16.573
y = 4.311e+01 math_pow took: 169.029, 16.954
y = 4.321e+01 math_pow took: 155.257, 15.977
y = 4.331e+01 math_pow took: 159.110, 17.049
y = 4.341e+01 math_pow took: 168.744, 14.544
y = 4.351e+01 math_pow took: 150.285, 12.135
y = 4.361e+01 math_pow took: 169.077, 15.492
y = 4.371e+01 math_pow took: 151.380, 13.270
y = 4.381e+01 math_pow took: 163.606, 17.950
y = 4.391e+01 math_pow took: 160.252, 14.230
y = 4.401e+01 math_pow took: 143.030, 13.365
y = 4.411e+01 math_pow took: 137.369, 13.096
y = 4.421e+01 math_pow took: 156.161, 12.673
y = 4.431e+01 math_pow took: 167.793, 11.878
y = 4.441e+01 math_pow took: 154.734, 15.034
y = 4.451e+01 math_pow took: 162.512, 17.356
y = 4.461e+01 math_pow took: 159.990, 18.031
y = 4.471e+01 math_pow took: 169.196, 14.134
y = 4.481e+01 math_pow took: 160.918, 16.947
y = 4.491e+01 math_pow took: 164.724, 14.480
y = 4.501e+01 math_pow took: 142.935, 16.487
y = 4.511e+01 math_pow took: 164.106, 14.222
y = 4.521e+01 math_pow took: 155.542, 17.990
y = 4.531e+01 math_pow took: 157.445, 17.330
y = 4.541e+01 math_pow took: 155.614, 13.832
y = 4.551e+01 math_pow took: 161.156, 17.028
y = 4.561e+01 math_pow took: 169.267, 18.887
y = 4.571e+01 math_pow took: 159.705, 14.834
y = 4.581e+01 math_pow took: 159.800, 15.198
y = 4.591e+01 math_pow took: 162.488, 14.936
y = 4.601e+01 math_pow took: 154.091, 16.496
y = 4.611e+01 math_pow took: 158.968, 17.828
y = 4.621e+01 math_pow took: 156.232, 12.750
y = 4.631e+01 math_pow took: 155.233, 12.574
y = 4.641e+01 math_pow took: 154.805, 15.205
y = 4.651e+01 math_pow took: 169.553, 13.856
y = 4.661e+01 math_pow took: 114.153, 16.840
y = 4.671e+01 math_pow took: 158.754, 17.134
y = 4.681e+01 math_pow took: 172.431, 15.296
y = 4.691e+01 math_pow took: 158.183, 16.968
y = 4.701e+01 math_pow took: 153.735, 11.911
y = 4.711e+01 math_pow took: 164.914, 11.524
y = 4.721e+01 math_pow took: 153.877, 11.563
y = 4.731e+01 math_pow took: 113.939, 16.880
y = 4.741e+01 math_pow took: 153.877, 12.991
y = 4.751e+01 math_pow took: 159.895, 18.116
y = 4.761e+01 math_pow took: 163.154, 14.497
y = 4.771e+01 math_pow took: 167.507, 15.383
y = 4.781e+01 math_pow took: 116.151, 13.825
y = 4.791e+01 math_pow took: 160.728, 13.756
y = 4.801e+01 math_pow took: 153.687, 17.690
y = 4.811e+01 math_pow took: 111.703, 14.029
y = 4.821e+01 math_pow took: 153.592, 14.254
y = 4.831e+01 math_pow took: 136.394, 16.558
y = 4.841e+01 math_pow took: 105.352, 17.822
y = 4.851e+01 math_pow took: 153.830, 23.412
y = 4.861e+01 math_pow took: 135.300, 20.019
y = 4.871e+01 math_pow took: 161.108, 16.828
y = 4.881e+01 math_pow took: 158.849, 19.768
y = 4.891e+01 math_pow took: 137.393, 15.822
y = 4.901e+01 math_pow took: 153.449, 22.608
y = 4.911e+01 math_pow took: 162.702, 18.191
y = 4.921e+01 math_pow took: 153.187, 12.756
y = 4.931e+01 math_pow took: 95.195, 16.442
y = 4.941e+01 math_pow took: 112.655, 13.379
y = 4.951e+01 math_pow took: 168.839, 15.171
y = 4.961e+01 math_pow took: 159.158, 12.139
y = 4.971e+01 math_pow took: 171.860, 14.637
y = 4.981e+01 math_pow took: 172.479, 17.681
y = 4.991e+01 math_pow took: 158.254, 13.682
y = 5.001e+01 math_pow took: 153.520, 17.534
y = 5.011e+01 math_pow took: 152.783, 16.836
y = 5.021e+01 math_pow took: 166.556, 14.576
y = 5.031e+01 math_pow took: 153.235, 16.832
y = 5.041e+01 math_pow took: 141.603, 19.006
y = 5.051e+01 math_pow took: 171.598, 15.180
y = 5.061e+01 math_pow took: 176.665, 19.330
y = 5.071e+01 math_pow took: 126.689, 13.253
y = 5.081e+01 math_pow took: 167.793, 11.793
y = 5.091e+01 math_pow took: 164.772, 11.527
y = 5.101e+01 math_pow took: 166.461, 14.268
y = 5.111e+01 math_pow took: 156.422, 14.682
y = 5.121e+01 math_pow took: 153.949, 12.234
y = 5.131e+01 math_pow took: 155.780, 17.556
y = 5.141e+01 math_pow took: 154.686, 15.645
y = 5.151e+01 math_pow took: 171.408, 18.950
y = 5.161e+01 math_pow took: 168.673, 14.611
y = 5.171e+01 math_pow took: 164.510, 14.886
y = 5.181e+01 math_pow took: 159.206, 15.855
y = 5.191e+01 math_pow took: 159.776, 14.201
y = 5.201e+01 math_pow took: 164.201, 14.844
y = 5.211e+01 math_pow took: 156.351, 12.526
y = 5.221e+01 math_pow took: 109.253, 19.653
y = 5.231e+01 math_pow took: 108.254, 13.254
y = 5.241e+01 math_pow took: 161.204, 16.377
y = 5.251e+01 math_pow took: 157.897, 14.678
y = 5.261e+01 math_pow took: 158.635, 16.088
y = 5.271e+01 math_pow took: 171.551, 17.748
y = 5.281e+01 math_pow took: 175.547, 18.309
y = 5.291e+01 math_pow took: 173.073, 14.544
y = 5.301e+01 math_pow took: 154.710, 14.653
y = 5.311e+01 math_pow took: 140.176, 15.644
